iter	Passed	Remaining
0	3	3117
1	8	4184
2	14	4888
3	19	4892
4	23	4744
5	27	4610
6	36	5240
7	38	4776
8	41	4584
9	44	4415
10	50	4498
11	54	4502
12	56	4253
13	62	4400
14	68	4522
15	72	4485
16	80	4655
17	81	4460
18	88	4570
19	93	4576
20	98	4590
21	106	4732
22	107	4569
23	117	4762
24	120	4710
25	125	4688
26	126	4549
27	134	4652
28	139	4654
29	145	4696
30	146	4565
31	151	4587
32	154	4528
33	157	4468
34	161	4449
35	165	4430
36	166	4333
37	173	4384
38	179	4424
39	182	4387
40	183	4298
41	186	4248
42	187	4170
43	195	4237
44	197	4201
45	203	4211
46	206	4192
47	210	4168
48	213	4140
49	215	4102
50	219	4086
51	223	4073
52	226	4040
53	229	4027
54	233	4014
55	237	4011
56	247	4091
57	248	4030
58	254	4057
59	261	4101
60	268	4131
61	271	4108
62	277	4129
63	282	4127
64	285	4112
65	288	4085
66	294	4103
67	301	4135
68	304	4104
69	308	4093
70	311	4077
71	318	4102
72	321	4079
73	322	4033
74	328	4049
75	331	4030
76	335	4017
77	340	4030
78	349	4074
79	353	4068
80	356	4049
81	361	4050
82	365	4039
83	366	4000
84	374	4030
85	377	4010
86	378	3973
87	379	3932
88	386	3956
89	396	4006
90	400	4002
91	411	4061
92	414	4043
93	421	4060
94	425	4054
95	435	4099
96	441	4105
97	448	4130
98	463	4221
99	475	4279
100	476	4243
101	478	4212
102	479	4175
103	481	4146
104	482	4115
105	484	4082
106	485	4054
107	487	4025
108	488	3995
109	490	3967
110	491	3935
111	492	3907
112	494	3877
113	495	3854
114	497	3832
115	499	3807
116	502	3793
117	503	3766
118	505	3743
119	506	3716
120	508	3691
121	509	3663
122	510	3642
123	511	3616
124	513	3592
125	515	3572
126	516	3551
127	517	3528
128	519	3505
129	520	3486
130	522	3464
131	523	3443
132	524	3421
133	526	3400
134	527	3381
135	529	3361
136	530	3340
137	531	3320
138	532	3300
139	534	3280
140	535	3263
141	536	3242
142	537	3218
143	538	3199
144	539	3181
145	540	3162
146	542	3145
147	543	3131
148	545	3113
149	546	3097
150	551	3099
151	555	3096
152	556	3079
153	559	3074
154	562	3065
155	567	3068
156	570	3063
157	574	3063
158	581	3075
159	586	3080
160	590	3074
161	596	3086
162	601	3087
163	604	3082
164	609	3086
165	613	3084
166	618	3084
167	619	3066
168	622	3062
169	628	3070
170	641	3111
171	647	3117
172	651	3112
173	657	3119
174	660	3112
175	665	3116
176	671	3124
177	673	3108
178	675	3097
179	682	3107
180	688	3113
181	690	3104
182	696	3110
183	699	3100
184	699	3083
185	704	3085
186	712	3097
187	712	3078
188	715	3068
189	715	3050
190	722	3061
191	728	3066
192	735	3076
193	746	3099
194	746	3081
195	757	3108
196	761	3102
197	765	3102
198	773	3111
199	773	3094
200	781	3105
201	783	3095
202	789	3098
203	792	3092
204	798	3094
205	802	3092
206	805	3085
207	813	3095
208	813	3078
209	818	3080
210	822	3076
211	831	3090
212	831	3073
213	839	3085
214	849	3101
215	863	3135
216	873	3151
217	881	3161
218	884	3153
219	884	3136
220	885	3119
221	887	3109
222	892	3110
223	893	3094
224	896	3088
225	902	3091
226	910	3100
227	911	3085
228	913	3075
229	916	3069
230	922	3069
231	922	3054
232	928	3055
233	932	3052
234	937	3051
235	940	3043
236	946	3047
237	952	3050
238	960	3059
239	964	3053
240	968	3050
241	975	3056
242	983	3063
243	988	3061
244	995	3068
245	1000	3067
246	1002	3056
247	1008	3057
248	1016	3067
249	1017	3053
250	1020	3045
251	1021	3033
252	1025	3028
253	1033	3035
254	1040	3039
255	1043	3031
256	1046	3025
257	1051	3023
258	1055	3020
259	1061	3022
260	1069	3028
261	1072	3021
262	1077	3019
263	1080	3013
264	1087	3015
265	1091	3010
266	1093	3000
267	1096	2994
268	1100	2990
269	1103	2983
270	1105	2972
271	1109	2968
272	1112	2963
273	1115	2956
274	1119	2950
275	1121	2941
276	1125	2938
277	1128	2930
278	1133	2928
279	1135	2921
280	1139	2914
281	1143	2912
282	1146	2904
283	1150	2899
284	1152	2892
285	1154	2882
286	1158	2879
287	1162	2872
288	1163	2861
289	1167	2857
290	1169	2849
291	1170	2836
292	1173	2832
293	1176	2825
294	1178	2816
295	1179	2805
296	1184	2803
297	1187	2796
298	1191	2793
299	1195	2790
300	1197	2781
301	1202	2778
302	1210	2784
303	1213	2778
304	1217	2775
305	1221	2769
306	1224	2764
307	1230	2765
308	1233	2759
309	1237	2755
310	1241	2750
311	1244	2743
312	1248	2740
313	1251	2735
314	1254	2728
315	1257	2721
316	1258	2711
317	1260	2704
318	1263	2696
319	1264	2686
320	1267	2680
321	1270	2674
322	1273	2669
323	1275	2661
324	1277	2653
325	1280	2647
326	1282	2639
327	1283	2630
328	1285	2621
329	1288	2615
330	1290	2608
331	1293	2603
332	1295	2595
333	1300	2592
334	1302	2586
